doc_id,text,processed_text
151,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,fire bullet backward aircraft go faster bullet bullet go backward
152,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",bullet travel faster speed sound shot gun possibl gun much devast occur
153,How do I prevent breast cancer?,prevent breast cancer
154,Is breast cancer preventable?,breast cancer prevent
155,How do I log out of my Gmail account on my friend's phone?,log gmail account friend phone
156,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,know log gmail account tell address devic name
157,How can I make money through the Internet?,make money internet
158,"What are some different ways to make money online, excluding selling things?",differ way make money onlin exclud sell thing
159,What is purpose of life?,purpos life
160,What's the purpose of life? What is life actually about?,purpos life life actual
161,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,bjp govern strip muslim christian indian citizenship put boat like rohingya burma
162,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",india appli burma rohingya model deport illeg bangladeshi
163,What is the right etiquette for wishing a Jehovah Witness happy birthday?,right etiquett wish jehovah wit happi birthday
164,How important is it to be the first person to wish someone a happy birthday?,import first person wish someon happi birthday
165,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?",someon want open commerci radio station citi india much cost procedur
166,"I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",want make travel commerci clip video india new zealand much cost
167,Why do Swiss despise Asians?,swiss despis asian
168,Why do technical employees despise sales people so much?,technic employe despis sale peopl much
169,What are some of the high salary income jobs in the field of biotechnology?,high salari incom job field biotechnolog
170,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,high pay job fresher tech biotechnolog
171,How can I increase my height after 21 also?,increas height also
172,Can height increase after 25?,height increas
173,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?",major effect cambodia earthquak effect compar kamchatca earthquak
174,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",major effect cambodia earthquak effect compar valparaiso earthquak
175,What is the difference between sincerity and fairness?,differ sincer fair
176,What's the difference between honest and sincere?,differ honest sincer
177,Which is the best gaming laptop under 60k INR?,best game laptop inr
178,Which is the best gaming laptop under Rs 60000?,best game laptop
179,What is your review of The Next Warrior: Proving Grounds - Part 9?,review next warrior prove ground part
180,What is your review of The Next Warrior: Proving Grounds - Part 5?,review next warrior prove ground part
181,What is the best reference book for physics class 11th?,best refer book physic class
182,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",book choos refer physic chemistri class cbse board
183,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?",nation institut technolog kurukshetra social life nitk surathk
184,"National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",nation institut technolog karnataka nitk surathk graduat batch lesson would want give junior leav
185,What are some of the best romantic movies in English?,best romant movi english
186,What is the best romantic movie you have ever seen?,best romant movi ever seen
189,What is abstract expressionism in painting?,abstract expression paint
190,What are some of the major influences of abstract expressionism?,major influenc abstract expression
191,How does 3D printing work?,print work
192,How do 3D printing work?,print work
193,What was it like to attend Caltech with Jeremy Ehrhardt?,like attend caltech jeremi ehrhardt
194,Who are some notable folks who attended Caltech?,notabl folk attend caltech
195,Why did harry become a horcrux?,harri becom horcrux
196,What is a Horcrux?,horcrux
197,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,best associ product manag apm program someon earli join learn product manag reward career compani
198,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,gener requir becom product manag program manag product base softwar compani
199,Why is the number for Skype at 1-855-425-3768 always busy?,number skype alway busi
200,How could I get Skype to work on an android 4.1.1 phone?,could get skype work android phone
201,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,realli war india pakistan uri attack effect
202,Will there be a nuclear war between India and Pakistan?,nuclear war india pakistan
203,Did Ronald Reagan have a mannerism in his speech?,ronald reagan manner speech
204,How did Ronald Reagan react to 9/11?,ronald reagan react
205,What were the war strategies of the Union and the Confederates during the Civil War?,war strategi union confeder civil war
206,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,could confeder possibl defeat union forc gettysburg american civil war
207,Which is the best fiction novel of 2016?,best fiction novel
208,Which are some of the best fiction novels?,best fiction novel
209,Can I recover my email if I forgot the password?,recov email forgot password
210,What should I do if I forgot my email password?,forgot email password
211,Will the recent demonetisation results in higher GDP? If so how much?,recent demonetis result higher gdp much
212,How demonetisation could affect the GDP of India in both short run and long run?,demonetis could affect gdp india short run long run
213,Have you ever heard of travel hacking?,ever heard travel hack
214,Can WhatsApp be hacked?,whatsapp hack
215,What's the difference between love and pity?,differ love piti
216,What is the difference between love and pity?,differ love piti
217,How competitive is the hiring process at Republic Bank?,competit hire process republ bank
218,How competitive is the hiring process at S & T Bank?,competit hire process bank
219,How Google helps in spam ranking adjustment of the search results?,googl help spam rank adjust search result
220,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",distribut traffic googl organ search result rank first page second page
221,Where can I watch gonulcelen with english subtitles?,watch gonulcelen english subtitl
222,Where can I watch sarrainodu with subtitles?,watch sarrainodu subtitl
223,Is USA the most powerful country of the world?,usa power countri world
224,Why is the USA the most powerful country of the world?,usa power countri world
225,How do you obtain an instant ulcer pain relief?,obtain instant ulcer pain relief
226,What is better for a low back pain: heat or ice?,better low back pain heat ice
227,What do you think China food?,think china food
228,How do you think of Chinese food?,think chines food
229,What does taking advantage of someone mean?,take advantag someon mean
230,Is it worse to take advantage of someone or be materialistic?,wors take advantag someon materialist
231,Why do we cry when we are happy and when we are sad?,cri happi sad
232,Why do we cry?,cri
233,Why do some girls like to stick their their tongues out when taking pictures?,girl like stick tongu take pictur
234,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,teen girl women gener allow boyfriend take nake pictur day digit age
235,"Did you find the ending of the novel ""1984"" depressing?",find end novel depress
236,"How do Winston and Julia differ in the novel ""1984""? How are they similar?",winston julia differ novel similar
237,What are some mind-blowing computer tools that exist that most people don't know about?,mind blow comput tool exist peopl know
238,What are some mind-blowing technologies that exist that most people don't know about?,mind blow technolog exist peopl know
239,Should the toothbrush be wet or dry before applying the toothpaste?,toothbrush wet dri appli toothpast
240,What is the cheapest toothpaste?,cheapest toothpast
241,Why my question was marked as needing imrovement?,question mark need imrov
242,How can I ask a question without getting marked as ‘need to improve’?,ask question without get mark need improv
243,What is the difference between a neutral state and a buffer state?,differ neutral state buffer state
244,"If every state of the USA declared war against each other, which would win?",everi state usa declar war would win
245,What mineral holds the highest electrical charge?,miner hold highest electr charg
246,What mineral can hold the greatest electrical charge?,miner hold greatest electr charg
247,What is the greatest mystery in the universe?,greatest mysteri univers
248,What is the greatest mystery of all time?,greatest mysteri time
249,What is the alternative to machine learning?,altern machin learn
250,How do I over-sample a multi-class imbalance data set?,sampl multi class imbal data set
251,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",china block sanction jaish mohammad jem chief masood azhar
252,Why does China support Masood Azhar?,china support masood azhar
253,What is the mean of future budget?,mean futur budget
254,What is the meaning of the future?,mean futur
255,Can excessive amounts of Vitamin C cause me to have a miscarriage?,excess amount vitamin caus miscarriag
256,How can Vitamin C cause a miscarriage?,vitamin caus miscarriag
257,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,like work asahi india glass pay scale one two year
258,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,get call letter get letter intent asahi india glass recruit
259,How do I access Torbox in India?,access torbox india
260,How do I access Google.com from India?,access googl com india
261,What are some yakshini mantras?,yakshini mantra
262,What is a Yantra & Mantra?,yantra mantra
263,Was six party talks successful?,six parti talk success
264,Which course is better in NICMAR?,cours better nicmar
265,How do I register my domain site email?,regist domain site email
266,How do you register a .an domain?,regist domain
267,Is it normal for older men to be attracted to young women?,normal older men attract young women
268,Why am I attracted to older men?,attract older men
269,What is the strongest structure or strongest shape under compression?,strongest structur strongest shape compress
270,What is the strongest Kevlar cord?,strongest kevlar cord
271,Who are the Rohingya Muslims?,rohingya muslim
272,Who are the Rohingya people?,rohingya peopl
275,Are exocytosis and endocytosis examples of active or passive transport?,exocytosi endocytosi exampl activ passiv transport
276,What are examples of passive transport in cells?,exampl passiv transport cell
277,How i get hair on bald head?,get hair bald head
278,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",shave head year get bald grew hair hair intial loos hair
279,What is the ideal life after retirement?,ideal life retir
280,What's life after retirement?,life retir
281,What is our stance against Pakistan?,stanc pakistan
282,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,stanc pakistan possess weapon mass destruct north korea support dprk dprk
283,What are good websites for escorts?,good websit escort
284,How do I find a good escort?,find good escort
285,Which one is better polo diesel or grand i10 petrol?,one better polo diesel grand petrol
286,What is the best diet for a growing decathlete?,best diet grow decathlet
287,Does a black hole have mass?,black hole mass
288,Does a black hole have a finite mass?,black hole finit mass
289,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",morgan freeman correct say way stop racism stop talk
290,What are your views about this Morgan Freeman quote about Racism?,view morgan freeman quot racism
291,Does Fab currently offer new employees stock options or RSUs?,fab current offer new employe stock option rsu
292,Does Uber currently offer new employees stock options or RSUs?,uber current offer new employe stock option rsu
293,How would you review the site Waveclues?,would review site waveclu
294,Is there a good pay for reviews site out there?,good pay review site
295,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,mani way distribut ident look pencil student student get least one pencil
296,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,mani way appl distribut among children everi child get least appl
297,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,much would cost hire jerri seinfeld hour
298,How much on average would it cost to video tape a 2 hour presentation?,much averag would cost video tape hour present
299,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,day late rabi vaccin possibl non bite exposur
300,Can I take rabies injection after 1 day of dog bite?,take rabi inject day dog bite
301,How many years Britain ruled India?,mani year britain rule india
302,What is the standard amount of time off given for an international relocation?,standard amount time given intern reloc
303,How can I stop being afraid of working?,stop afraid work
304,How do you stop being afraid of everything?,stop afraid everyth
305,Why does Red keep the keys in OITNB?,red keep key oitnb
306,Why does Red keep the keys in season 4 of Orange is the New Black?,red keep key season orang new black
307,At what age should someone lose their virginity?,age someon lose virgin
308,"At what age, how, and where did you lose your virginity?",age lose virgin
309,How forgetful are you?,forget
310,How can I forget my wife?,forget wife
311,Could Snoke secretly be Darth Maul?,could snoke secretli darth maul
312,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,could snoke darth plaguei kill emperor palpatin
315,Would you switch from Canon 6D to Leica D-LUX 109?,would switch canon leica lux
316,What tripod should I get for my Canon 6D?,tripod get canon
317,What does the Quora website look like to members of Quora moderation?,quora websit look like member quora moder
319,Why nobody answer my questions in Quora?,nobodi answer question quora
320,Why is no one answering my questions in Quora?,one answer question quora
321,What is the funniest joke you know?,funniest joke know
322,What is the funniest joke of all time?,funniest joke time
323,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?",got job offer chelmsford essex london pay tax deduct pl advic tent monthli expens coupl save possibl
324,"If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",leav norway pay mortgag bsu account sell apart without pay back tax deduct got bsu
325,What are stereotypes about the United Kingdom?,stereotyp unit kingdom
326,What do Americans think about the United Kingdom?,american think unit kingdom
327,How do I use Twitter as a business source?,use twitter busi sourc
328,How can I use Twitter for business?,use twitter busi
329,How can I transfer money from Skrill to a PayPal account?,transfer money skrill paypal account
330,How can I send money from my PayPal account to my Skrill account to withdraw?,send money paypal account skrill account withdraw
331,Which is the best earphone with deep bass under 1000?,best earphon deep bass
332,Which is the Best earphones under Rs 1000?,best earphon
333,Are government employees eligible to Sukanya Samrudi Yojana?,govern employe elig sukanya samrudi yojana
334,Can a Government employee apply IEC?,govern employe appli iec
335,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,correct look forward speak look forward speak
336,"Which is correct: ""speak with"" or ""speak to""?",correct speak speak
337,Which are the best engineering fields?,best engin field
338,What is the best field of engineering?,best field engin
339,How do you make life suit you and stop life from abusing you mentally and emotionally?,make life suit stop life abus mental emot
